points,labels
[12.70186545  6.07136072 10.27005186],wg
[12.96533211  6.00785837 10.33878229],wg
[13.23881088  5.96816278 10.41012458],wg
[13.52309341  5.95397773 10.48428524],wg
[13.81897135  5.96700699 10.56147079],wg
[14.12723636  6.00895433 10.64188775],wg
[14.44868008  6.08152353 10.72574263],wg
[14.78409416  6.18641836 10.81324195],wg
[15.13427025  6.32534259 10.90459224],wg
[15.5  6.5 11. ],wg
